Time_Index,Price_mmbtu_global,Price_mmbtu_z1,Price_mmbtu_z2,Price_mmbtu_z3,Price_mmbtu_z4,Price_mmbtu_z5,Price_mmbtu_z6,Price_mmbtu_z7,Price_mmbtu_z8,Price_mmbtu_z9
1,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
2,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
3,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
4,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
5,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
6,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
7,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
8,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
9,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
10,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
11,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
12,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
13,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
14,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
15,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
16,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
17,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
18,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
19,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
20,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
21,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
22,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
23,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
24,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
25,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
26,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
27,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
28,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
29,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
30,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
31,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
32,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
33,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
34,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
35,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
36,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
37,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
38,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
39,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
40,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
41,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
42,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
43,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
44,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
45,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
46,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
47,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
48,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
49,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
50,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
51,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68
