Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,4,1
6,4,1
7,7,2
8,8,3
9,8,3
10,10,4
11,10,4
12,12,5
13,13,6
14,14,7
15,14,7
16,16,8
17,16,8
18,18,9
19,19,10
20,20,11
21,19,10
22,22,12
23,26,14
24,24,13
25,24,13
26,26,14
27,27,15
28,26,14
29,29,16
30,33,17
31,33,17
32,33,17
33,33,17
34,33,17
35,33,17
36,36,18
37,37,19
38,36,18
39,39,20
40,40,21
41,39,20
42,42,22
43,37,19
44,44,23
45,44,23
46,47,24
47,47,24
48,47,24
49,49,25
50,49,25
51,51,26
52,4,1
