Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,4,1
6,4,1
7,8,2
8,8,2
9,8,2
10,11,3
11,11,3
12,11,3
13,11,3
14,21,4
15,21,4
16,21,4
17,21,4
18,21,4
19,21,4
20,21,4
21,21,4
22,21,4
23,32,7
24,32,7
25,32,7
26,32,7
27,27,5
28,32,7
29,29,6
30,32,7
31,32,7
32,32,7
33,32,7
34,32,7
35,32,7
36,38,8
37,43,9
38,38,8
39,38,8
40,43,9
41,45,10
42,45,10
43,43,9
44,45,10
45,45,10
46,45,10
47,45,10
48,45,10
49,45,10
50,45,10
51,51,11
52,4,1
